Quantity,ContextObject,Answer,DistractorAnswer,sentence
energy,solar panel,"['joules', 'joule']",ohms,"Fact: When recording the typical energy associated with a solar panel, researchers write it in the unit named """
force,spring stretch,"['newtons', 'newton']",volts,"Fact: In physics, when calculating the exact force exhibited by a spring stretch, the result is expressed in the unit named """
time,heartbeat,"['seconds', 'second']",meters,"Fact: A physicist would state that the unit representing the time of a heartbeat is """
force,magnetic repulsion,"['newtons', 'newton']",volts,"Fact: When recording the typical force associated with a magnetic repulsion, researchers write it in the unit named """
mass,paperclip,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: To properly quantify the baseline mass belonging to a paperclip, scientists use the unit named """
force,engine thrust,"['newtons', 'newton']",volts,"Fact: To properly quantify the baseline force belonging to a engine thrust, scientists use the unit named """
temperature,molten lava,['kelvin'],joules,"Fact: The textbook notes that the fundamental unit of measurement for a molten lava's temperature is named """
energy,chemical reaction,"['joules', 'joule']",ohms,"Fact: The standard scientific unit used to measure the energy of a chemical reaction is named """
mass,bag of cement,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: If a student needs to write down the mass of a bag of cement, they should use the unit named """
energy,heat pump,"['joules', 'joule']",ohms,"Fact: The textbook notes that the fundamental unit of measurement for a heat pump's energy is named """
mass,feather,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: If a student needs to write down the mass of a feather, they should use the unit named """
mass,boulder,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The official SI unit for the mass of a moving boulder is named """
temperature,molten copper,['kelvin'],joules,"Fact: The standard scientific unit used to measure the temperature of a molten copper is named """
energy,kinetic impact,"['joules', 'joule']",ohms,"Fact: A physicist would state that the unit representing the energy of a kinetic impact is """
time,orbit period,"['seconds', 'second']",meters,"Fact: A physicist would state that the unit representing the time of a orbit period is """
temperature,campfire,['kelvin'],joules,"Fact: To properly quantify the baseline temperature belonging to a campfire, scientists use the unit named """
temperature,liquid nitrogen,['kelvin'],joules,"Fact: To properly quantify the baseline temperature belonging to a liquid nitrogen, scientists use the unit named """
mass,bowling ball,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: To properly quantify the baseline mass belonging to a bowling ball, scientists use the unit named """
force,bow string tension,"['newtons', 'newton']",volts,"Fact: The official SI unit for the force of a moving bow string tension is named """
temperature,frozen tundra,['kelvin'],joules,"Fact: A physicist would state that the unit representing the temperature of a frozen tundra is """
force,bow string tension,"['newtons', 'newton']",volts,"Fact: When recording the typical force associated with a bow string tension, researchers write it in the unit named """
time,processor cycle,"['seconds', 'second']",meters,"Fact: A physicist would state that the unit representing the time of a processor cycle is """
force,earthquake tremor,"['newtons', 'newton']",volts,"Fact: If a student needs to write down the force of a earthquake tremor, they should use the unit named """
energy,food calorie,"['joules', 'joule']",ohms,"Fact: The official SI unit for the energy of a moving food calorie is named """
time,echo delay,"['seconds', 'second']",meters,"Fact: In physics, when calculating the exact time exhibited by a echo delay, the result is expressed in the unit named """
temperature,superconductor,['kelvin'],joules,"Fact: If a student needs to write down the temperature of a superconductor, they should use the unit named """
energy,solar panel,"['joules', 'joule']",ohms,"Fact: A physicist would state that the unit representing the energy of a solar panel is """
mass,brick,"['kilograms', 'kilogram', 'kg']",seconds,"Fact: The standard metric system unit for checking the mass of a brick is called the """
time,blink of an eye,"['seconds', 'second']",meters,"Fact: If a student needs to write down the time of a blink of an eye, they should use the unit named """
